    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
    204.000    13.4461    13.4166    38.5729    29.0760    3.60583    156.451     1.0961     0.1312     4.5197    91.4323     0.0896
    205.000    13.4461    13.4166    38.5726    29.0760    3.60583    156.451     1.0961     0.1312     4.5197    91.4323     0.0896
    206.000    13.4386    13.4087    38.5709    29.0767    3.60868    156.575     1.0928     0.1301     4.5192    91.4217     0.0897
    207.000    13.4380    13.4076    38.5707    29.0769    3.61088    156.670     1.0879     0.1285     4.5192    91.4217     0.0897
    208.000    13.4380    13.4076    38.5710    29.0771    3.61088    156.670     1.0879     0.1285     4.5189    91.4161     0.0898
    209.000    13.4376    13.4074    38.5712    29.0772    3.61236    156.735     1.0879     0.1285     4.5188    91.4138     0.0898
    210.000    13.4376    13.4074    38.5714    29.0772    3.61386    156.800     1.0901     0.1292     4.5187    91.4117     0.0898
    211.000    13.4371    13.4064    38.5711    29.0774    3.61174    156.708     1.0901     0.1292     4.5187    91.4108     0.0898
    212.000    13.4350    13.4042    38.5708    29.0776    3.61174    156.708     1.0905     0.1293     4.5178    91.3914     0.0900
    213.000    13.4344    13.4034    38.5708    29.0778    3.61174    156.708     1.0905     0.1293     4.5176    91.3873     0.0900
    214.000    13.4344    13.4031    38.5709    29.0780    3.61032    156.646     1.0905     0.1293     4.5176    91.3872     0.0900
    215.000    13.4344    13.4031    38.5709    29.0780    3.61006    156.634     1.0903     0.1293     4.5176    91.3872     0.0900
    216.000    13.4345    13.4031    38.5716    29.0784    3.60861    156.571     1.0901     0.1292     4.5176    91.3872     0.0900
    217.000    13.4363    13.4047    38.5720    29.0784    3.60861    156.571     1.0901     0.1292     4.5180    91.3958     0.0900
    218.000    13.4367    13.4050    38.5723    29.0785    3.60861    156.571     1.0903     0.1293     4.5180    91.3958     0.0900
    219.000    13.4376    13.4056    38.5724    29.0786    3.60861    156.571     1.0912     0.1296     4.5180    91.3971     0.0899
    220.000    13.4376    13.4058    38.5727    29.0786    3.60876    156.578     1.0912     0.1296     4.5183    91.4021     0.0899
    221.000    13.4384    13.4063    38.5727    29.0788    3.60876    156.578     1.0951     0.1309     4.5191    91.4186     0.0898
    222.000    13.4412    13.4089    38.5740    29.0791    3.60839    156.562     1.0951     0.1309     4.5195    91.4284     0.0896
    223.000    13.4414    13.4089    38.5744    29.0791    3.60834    156.560     1.0912     0.1296     4.5196    91.4289     0.0896
    224.000    13.4414    13.4089    38.5743    29.0792    3.60834    156.560     1.0901     0.1292     4.5202    91.4410     0.0895
    225.000    13.4414    13.4087    38.5742    29.0793    3.60834    156.560     1.0901     0.1292     4.5206    91.4501     0.0894
